**************************** 3/4/2007 12:00:00 AM ***********************************
Time: 2007-03-04 14:23:24 | Procedure Name: AddAddress | Error: ExecuteNonQuery: Connection property has not been initialized.
Time: 2007-03-04 14:25:35 | Procedure Name: AddAddress | Error: Object reference not set to an instance of an object.
Time: 2007-03-04 15:15:38 | Procedure Name: AddAddress | Error: Procedure or function 'InsertAddress' expects parameter '@AddressLine2', which was not supplied.
Time: 2007-03-04 15:27:17 | Procedure Name: AddAddress | Error: Procedure or function 'InsertAddress' expects parameter '@AddressLine2', which was not supplied.
Time: 2007-03-04 15:35:39 | Procedure Name: AddCustomer | Error: Procedure or function 'InsertCustomer' expects parameter '@CustomerType', which was not supplied.
Time: 2007-03-04 21:35:53 | Procedure Name: AddCustomer | Error: Procedure or function 'InsertCustomer' expects parameter '@CustomerType', which was not supplied.
Time: 2007-03-04 22:36:35 | Procedure Name: GetAllCustomersDataSet() | Error: Could not find stored procedure 'SelectCustomerAll'.
**************************** 3/5/2007 12:00:00 AM ***********************************
Time: 2007-03-05 12:16:49 | Procedure Name: GetAllEmployeeDataSet() | Error: Fill: SelectCommand.Connection property has not been initialized.
Time: 2007-03-05 12:16:49 | Procedure Name: GetAllEmployeesDataSet | Error: Object reference not set to an instance of an object.
Time: 2007-03-05 12:19:37 | Procedure Name: GetAllEmployeesDataSet | Error: An error has occurred while establishing a connection to the server.  When connecting to SQL Server 2005, this failure may be caused by the fact that under the default settings SQL Server does not allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
Time: 2007-03-05 13:05:11 | Procedure Name: InsertUpdateSalesPerson | Error: Procedure or function 'InsertUpdateSalesPerson' expects parameter '@Bonus', which was not supplied.
Time: 2007-03-05 13:05:11 | Procedure Name: AddSalesPerson | Error: Procedure or function 'InsertUpdateSalesPerson' expects parameter '@Bonus', which was not supplied.
**************************** 3/8/2007 12:00:00 AM ***********************************
Time: 2007-03-08 22:24:32 | Procedure Name: GetAllSalesTerritoryHistorysViewDataSet() | Error: The request for procedure 'SalesTerritoryList_View' failed because 'SalesTerritoryList_View' is a view object.
Time: 2007-03-08 22:24:33 | Procedure Name: GetSalesTerritoryHistoryViewDataSet | Error: The request for procedure 'SalesTerritoryList_View' failed because 'SalesTerritoryList_View' is a view object.
**************************** 3/10/2007 12:00:00 AM ***********************************
Time: 2007-03-10 11:12:55 | Procedure Name: GetSalesTerritoryHistory | Error: String was not recognized as a valid DateTime.
Time: 2007-03-10 11:22:14 | Procedure Name: UpdateSalesTerritoryHistory | Error: Procedure or function 'UpdateSalesTerritoryHistory' expects parameter '@EndDate', which was not supplied.
Time: 2007-03-10 11:22:14 | Procedure Name: UpdateSalesTerritoryHistory | Error: Procedure or function 'UpdateSalesTerritoryHistory' expects parameter '@EndDate', which was not supplied.
Time: 2007-03-10 15:33:29 | Procedure Name: GetAllSalesTerritorysDataSet() | Error: Could not find stored procedure 'SelectSalesTerritorysAll'.
Time: 2007-03-10 15:33:29 | Procedure Name: GetAllSalesTerritoryDataSet | Error: Could not find stored procedure 'SelectSalesTerritorysAll'.
**************************** 3/11/2007 12:00:00 AM ***********************************
Time: 2007-03-11 00:59:28 | Procedure Name: UpdateCustomer | Error: Procedure or function 'UpdateCustomer' expects parameter '@CustomerType', which was not supplied.
Time: 2007-03-11 00:59:29 | Procedure Name: UpdateCustomer | Error: Procedure or function 'UpdateCustomer' expects parameter '@CustomerType', which was not supplied.
Time: 2007-03-11 01:06:07 | Procedure Name: UpdateAddress | Error: Cannot insert explicit value for identity column in table 'Address' when IDENTITY_INSERT is set to OFF.
Time: 2007-03-11 01:06:07 | Procedure Name: UpdateAddress | Error: Cannot insert explicit value for identity column in table 'Address' when IDENTITY_INSERT is set to OFF.
Time: 2007-03-11 01:33:26 | Procedure Name: GetAllCustomersDynamicDataSet() | Error: Invalid column name 'CustomerName'.
Invalid column name 'CustomerName'.
Time: 2007-03-11 01:33:26 | Procedure Name: GetCustomersDataSet | Error: Invalid column name 'CustomerName'.
Invalid column name 'CustomerName'.
Time: 2007-03-11 01:47:48 | Procedure Name: GetAllCustomersDynamicDataSet() | Error: Incorrect syntax near the keyword 'ORDER'.
Time: 2007-03-11 01:47:49 | Procedure Name: GetCustomersDataSet | Error: Incorrect syntax near the keyword 'ORDER'.
Time: 2007-03-11 01:52:25 | Procedure Name: GetAllCustomersDynamicDataSet() | Error: Incorrect syntax near the keyword 'ORDER'.
Time: 2007-03-11 01:52:26 | Procedure Name: GetCustomersDataSet | Error: Incorrect syntax near the keyword 'ORDER'.
Time: 2007-03-11 16:49:58 | Procedure Name: InsertSpecialOffer | Error: Procedure or function 'InsertSpecialOffer' expects parameter '@Category', which was not supplied.
Time: 2007-03-11 16:49:59 | Procedure Name: AddSpecialOffer | Error: Procedure or function 'InsertSpecialOffer' expects parameter '@Category', which was not supplied.
Time: 2007-03-11 16:53:52 | Procedure Name: AddSpecialOfferProduct | Error: Object reference not set to an instance of an object.
Time: 2007-03-11 16:54:28 | Procedure Name: AddSpecialOfferProduct | Error: Object reference not set to an instance of an object.
Time: 2007-03-11 16:55:45 | Procedure Name: AddSpecialOfferProduct | Error: Object reference not set to an instance of an object.
Time: 2007-03-11 16:58:36 | Procedure Name: AddSpecialOfferProduct | Error: Object reference not set to an instance of an object.
Time: 2007-03-11 16:59:39 | Procedure Name: AddSpecialOfferProduct | Error: Object reference not set to an instance of an object.
Time: 2007-03-11 20:09:07 | Procedure Name: GetProductDynamicDataSet | Error: Incorrect syntax near ')'.
Time: 2007-03-11 20:09:08 | Procedure Name: GetProductsDataSet | Error: Incorrect syntax near ')'.
Time: 2007-03-11 20:09:28 | Procedure Name: GetProductDynamicDataSet | Error: Incorrect syntax near ')'.
Time: 2007-03-11 20:09:28 | Procedure Name: GetProductsDataSet | Error: Incorrect syntax near ')'.
Time: 2007-03-11 20:09:34 | Procedure Name: GetProductDynamicDataSet | Error: Incorrect syntax near ')'.
Time: 2007-03-11 20:09:34 | Procedure Name: GetProductsDataSet | Error: Incorrect syntax near ')'.
Time: 2007-03-11 20:09:43 | Procedure Name: GetProductDynamicDataSet | Error: Incorrect syntax near ')'.
Time: 2007-03-11 20:09:43 | Procedure Name: GetProductsDataSet | Error: Incorrect syntax near ')'.
Time: 2007-03-11 20:12:42 | Procedure Name: GetProductDynamicDataSet | Error: Incorrect syntax near ')'.
